[2023-07-25 20:22:57,086] [INFO] Set up nlp object from config
[2023-07-25 20:22:57,099] [INFO] Pipeline: ['tok2vec', 'ner']
[2023-07-25 20:22:57,102] [INFO] Created vocabulary
[2023-07-25 20:22:58,592] [INFO] Added vectors: de_core_news_lg
[2023-07-25 20:22:58,593] [INFO] Finished initializing nlp object
[2023-07-25 20:23:02,404] [INFO] Initialized pipeline components: ['tok2vec', 'ner']
[38;5;4mℹ Saving to output directory: /veld/output/1/m1[0m
[38;5;4mℹ Using CPU[0m
[1m
=========================== Initializing pipeline ===========================[0m
[38;5;2m✔ Initialized pipeline[0m
[1m
============================= Training pipeline =============================[0m
[38;5;4mℹ Pipeline: ['tok2vec', 'ner'][0m
[38;5;4mℹ Initial learn rate: 0.001[0m
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
165   26600       3425.46    260.52   74.51   73.14   75.94    0.75
166   26800       4218.95    284.16   73.55   74.81   72.33    0.74
168   27000       5036.31    303.52   74.95   74.40   75.50    0.75
169   27200       3362.03    269.07   75.50   73.75   77.34    0.76
170   27400       2822.82    235.91   73.56   76.74   70.64    0.74
172   27600       3264.90    258.81   74.78   73.05   76.60    0.75
173   27800       2934.73    234.74   75.22   77.92   72.70    0.75
174   28000       2662.77    253.29   74.00   73.97   74.03    0.74
175   28200       2973.92    244.74   75.01   74.38   75.64    0.75
177   28400       2971.53    246.14   74.60   76.35   72.92    0.75
178   28600       3038.94    248.20   74.68   76.53   72.92    0.75
179   28800       2830.62    235.99   75.00   74.08   75.94    0.75
181   29000       2889.63    214.97   75.57   75.35   75.79    0.76
182   29200       3958.10    295.07   75.62   74.59   76.67    0.76
183   29400       3360.59    250.84   74.60   74.43   74.76    0.75
185   29600       2350.89    213.64   75.83   73.85   77.92    0.76
186   29800       5258.26    235.24   74.83   76.44   73.29    0.75
187   30000       3762.61    280.33   75.17   73.25   77.19    0.75
189   30200       4504.43    286.63   75.07   76.29   73.88    0.75
190   30400       3465.05    236.20   75.25   74.78   75.72    0.75
191   30600       7069.49    237.19   75.60   74.08   77.19    0.76
193   30800       3918.50    242.71   74.36   76.26   72.55    0.74
194   31000       4793.49    273.11   74.96   75.24   74.69    0.75
195   31200       4027.58    248.46   74.24   74.91   73.58    0.74
197   31400       2903.99    223.56   74.06   74.17   73.95    0.74
198   31600       4819.77    232.98   74.88   74.42   75.35    0.75
